,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
"('Planet Caravan - 2013 Remaster', 'Black Sabbath')",0.941,0.368,269027,0.0595,Rock,0.891,9,0.0827,-28.603,1,0.036,90.116,4,0.339
"('Changes - 2013 Remaster', 'Black Sabbath')",0.0321,0.29,282497,0.215,Rock,1.66e-05,0,0.106,-12.762,1,0.0327,80.814,3,0.191
"('Sabbath Bloody Sabbath - 2014 Remaster', 'Black Sabbath')",0.369,0.359,346637,0.625,Rock,7.7e-05,1,0.0674,-9.643,0,0.0351,137.764,4,0.524
"('Sweet Leaf - 2014 Remaster', 'Black Sabbath')",0.00183,0.362,304787,0.6,Rock,0.0426,2,0.0814,-12.285,1,0.0463,148.462,4,0.658
"(""I Was Made For Lovin' You"", 'KISS')",0.213,0.768,271240,0.852,Rock,7.45e-05,4,0.0723,-6.215,1,0.038,128.374,4,0.867
"('Rock And Roll All Nite', 'KISS')",0.0468,0.654,168840,0.929,Rock,0.0,1,0.0539,-5.906,1,0.0998,144.774,4,0.902
"('Detroit Rock City', 'KISS')",0.0422,0.546,215933,0.901,Rock,4.48e-05,5,0.292,-6.729,1,0.0685,90.591,4,0.459
"(""Heaven's On Fire"", 'KISS')",0.00376,0.679,201400,0.866,Rock,3.1e-05,0,0.312,-6.053,1,0.0634,124.325,4,0.785
"('Lick It Up', 'KISS')",0.179,0.681,236640,0.773,Rock,1.83e-05,2,0.311,-6.051,1,0.058,120.276,4,0.547
"('Strutter', 'KISS')",0.0247,0.511,190867,0.912,Rock,0.0553,1,0.0943,-5.618,1,0.0594,131.339,4,0.833
"('Forever', 'KISS')",0.254,0.435,232640,0.666,Rock,1.4e-05,6,0.0541,-10.596,1,0.031,176.431,4,0.566
"('Beth', 'KISS')",0.878,0.387,165667,0.238,Rock,0.000715,0,0.194,-13.496,1,0.0339,115.354,4,0.279
"('Crazy Crazy Nights', 'KISS')",0.41,0.591,227600,0.869,Rock,0.0,7,0.718,-6.383,1,0.0655,121.68,4,0.74
"('Love Gun', 'KISS')",0.0264,0.408,198707,0.867,Rock,0.0356,3,0.276,-6.24,0,0.0367,147.226,4,0.705
"('Under the Bridge', 'Red Hot Chili Peppers')",0.0576,0.559,264307,0.345,Rock,0.000105,4,0.141,-13.496,1,0.0459,84.581,4,0.458
"('Californication', 'Red Hot Chili Peppers')",0.0021,0.592,329733,0.767,Rock,0.00165,9,0.127,-2.788,0,0.027,96.483,4,0.328
"(""Can't Stop"", 'Red Hot Chili Peppers')",0.0179,0.618,269000,0.938,Rock,0.0,9,0.167,-3.442,1,0.0456,91.455,4,0.875
"('Snow (Hey Oh)', 'Red Hot Chili Peppers')",0.116,0.427,334667,0.9,Rock,1.75e-05,11,0.119,-3.674,1,0.0499,104.655,4,0.599
"('Otherside', 'Red Hot Chili Peppers')",0.00316,0.458,255373,0.795,Rock,0.000202,0,0.0756,-3.265,1,0.0574,123.229,4,0.513
"('Scar Tissue', 'Red Hot Chili Peppers')",0.0779,0.595,215907,0.717,Rock,0.00274,0,0.108,-4.803,1,0.0295,88.969,4,0.547
"('Dani California', 'Red Hot Chili Peppers')",0.0193,0.556,282160,0.913,Rock,8.59e-06,0,0.346,-2.36,1,0.0437,96.184,4,0.73
"('By the Way', 'Red Hot Chili Peppers')",0.0264,0.451,216933,0.97,Rock,0.00355,0,0.102,-4.938,1,0.107,122.444,4,0.198
"('Dark Necessities', 'Red Hot Chili Peppers')",0.0722,0.7,302000,0.742,Rock,0.0199,5,0.11,-6.777,0,0.0716,91.959,4,0.197
"('Give It Away', 'Red Hot Chili Peppers')",0.00244,0.666,282907,0.936,Rock,0.086,7,0.153,-9.919,1,0.0476,91.577,4,0.776
"('Bohemian Rhapsody - 2011 Mix', 'Queen')",0.288,0.392,354320,0.402,Rock,0,0,0.243,-9.961,0,0.0536,143.883,4,0.228
"(""Don't Stop Me Now - 2011 Mix"", 'Queen')",0.0472,0.563,209413,0.865,Rock,0.000191,5,0.77,-5.277,1,0.16,156.271,4,0.601
"('Another One Bites The Dust - Remastered 2011', 'Queen')",0.112,0.933,214653,0.528,Rock,0.329,5,0.163,-6.472,0,0.162,109.975,4,0.756
"('Under Pressure - Remastered', 'Queen')",0.422,0.671,248440,0.711,Rock,0,2,0.104,-7.813,1,0.0478,113.809,4,0.466
"('We Will Rock You - Remastered', 'Queen')",0.679,0.693,122067,0.497,Rock,0,2,0.258,-7.316,1,0.119,81.308,4,0.473
"('We Are The Champions - Remastered 2011', 'Queen')",0.378,0.268,179200,0.459,Rock,0,7,0.119,-6.948,0,0.0346,64.223,4,0.172
"('Radio Ga Ga - 2011 Mix', 'Queen')",0.179,0.744,348227,0.502,Rock,0.000172,5,0.19,-7.705,1,0.0359,112.345,4,0.655
"('I Want To Break Free - Remastered 2011', 'Queen')",0.0853,0.795,258013,0.433,Rock,0.000284,4,0.0762,-8.927,1,0.0324,108.947,4,0.6
"('Somebody To Love - 2011 Mix', 'Queen')",0.19,0.497,296493,0.693,Rock,0,8,0.215,-7.024,1,0.0565,111.539,3,0.358
"('Love Of My Life - Remastered 2011', 'Queen')",0.936,0.331,217400,0.183,Rock,9.07e-06,5,0.115,-11.63,1,0.0287,79.195,4,0.26
"('Nothing Else Matters', 'Metallica')",0.0505,0.558,388733,0.364,Rock,5.02e-06,4,0.0753,-11.258,0,0.0265,142.171,3,0.17
"('Enter Sandman', 'Metallica')",0.00206,0.579,331573,0.824,Rock,0.00903,6,0.059,-8.71,0,0.03,123.331,4,0.635
"('Master of Puppets (Remastered)', 'Metallica')",0.00067,0.539,515387,0.828,Rock,0.421,4,0.154,-9.108,0,0.035,105.25,4,0.562
"('The Unforgiven', 'Metallica')",0.0108,0.539,387133,0.597,Rock,0.00552,7,0.134,-9.581,1,0.0258,139.444,4,0.251
"('One (Remastered)', 'Metallica')",0.000668,0.438,446146,0.687,Rock,0.0801,7,0.42,-9.15,1,0.0619,103.01,3,0.426
"('Whiskey In The Jar', 'Metallica')",5.36e-06,0.511,304893,0.972,Rock,0.00101,10,0.19,-3.751,1,0.0413,132.97,4,0.532
"('For Whom The Bell Tolls (Remastered)', 'Metallica')",0.00631,0.512,309973,0.86,Rock,0.00528,0,0.0652,-6.145,1,0.0703,117.909,4,0.258
"('Sad But True', 'Metallica')",0.000773,0.632,324560,0.845,Rock,0.00152,7,0.0618,-6.336,1,0.0333,89.232,4,0.433
"('Fade To Black (Remastered)', 'Metallica')",0.00311,0.256,417227,0.929,Rock,0.201,7,0.11,-6.667,1,0.113,113.47,4,0.278
"('Seek & Destroy (Remastered)', 'Metallica')",0.0364,0.439,414720,0.963,Rock,0.00896,9,0.0784,-5.508,1,0.277,140.805,4,0.435
"('Casey Jones - 2013 Remaster', 'Grateful Dead')",0.385,0.671,265067,0.405,Rock,0,0,0.132,-10.052,1,0.0392,99.678,4,0.828
"('Friend of the Devil', 'Grateful Dead')",0.334,0.642,201867,0.628,Rock,8.29e-06,7,0.614,-12.849,1,0.0358,103.317,4,0.893
"('Ripple - 2013 Remaster', 'Grateful Dead')",0.427,0.604,249734,0.411,Rock,5.74e-05,7,0.602,-14.258,1,0.034,126.637,4,0.675
"('Althea - 2013 Remaster', 'Grateful Dead')",0.679,0.783,412596,0.284,Rock,0.282,9,0.0767,-14.307,1,0.0365,82.676,4,0.584
"('Scarlet Begonias - 2013 Remaster', 'Grateful Dead')",0.314,0.537,259702,0.559,Rock,0.000795,4,0.116,-12.224,1,0.0315,167.758,4,0.918
"(""Truckin' - 2013 Remaster"", 'Grateful Dead')",0.389,0.644,306974,0.623,Rock,0.0202,11,0.0617,-13.862,0,0.059,126.553,4,0.676
"('Shakedown Street - 2013 Remaster', 'Grateful Dead')",0.156,0.809,300209,0.575,Rock,1.65e-06,0,0.0799,-12.176,1,0.0298,109.447,4,0.85
"('Touch of Grey - 2013 Remaster', 'Grateful Dead')",0.0785,0.612,350862,0.696,Rock,9.4e-06,11,0.14,-11.34,1,0.0353,159.829,4,0.849
"('Fire on the Mountain - 2013 Remaster', 'Grateful Dead')",0.528,0.788,229009,0.461,Rock,2.69e-05,1,0.0886,-11.704,0,0.0556,76.669,1,0.906
"('Box of Rain - 2013 Remaster', 'Grateful Dead')",0.413,0.52,318929,0.49,Rock,0,2,0.121,-12.828,1,0.0286,117.755,4,0.76
"('9 to 5', 'Dolly Parton')",0.416,0.554,162467,0.783,Country,1.54e-06,6,0.631,-5.852,1,0.0457,105.39,4,0.813
"('Faith (with Dolly Parton) [feat. Mr. Probz]', 'Dolly Parton')",0.145,0.547,186805,0.795,Country,0.0,8,0.111,-3.721,1,0.0489,118.115,4,0.723
"('Jolene', 'Dolly Parton')",0.566,0.674,161533,0.537,Country,0.0,1,0.131,-10.971,0,0.0363,110.578,4,0.809
"('Islands In the Stream', 'Dolly Parton')",0.675,0.618,251960,0.412,Country,1.04e-06,8,0.0886,-12.075,1,0.0368,203.933,4,0.74
"('Here You Come Again', 'Dolly Parton')",0.647,0.529,179491,0.511,Country,0.00724,1,0.0391,-9.37,1,0.0418,106.491,4,0.559
"('I Will Always Love You', 'Dolly Parton')",0.96,0.446,176093,0.142,Country,0.00114,9,0.101,-13.498,1,0.0335,135.724,4,0.156
"('There Was Jesus', 'Dolly Parton')",0.4,0.496,223348,0.694,Country,0.0,8,0.088,-6.331,1,0.0374,153.881,4,0.473
"('God Only Knows (with Dolly Parton)', 'Dolly Parton')",0.276,0.656,213653,0.561,Country,0.0,11,0.143,-5.626,0,0.0495,143.962,4,0.469
"('Coat of Many Colors', 'Dolly Parton')",0.93,0.624,183667,0.257,Country,7.56e-05,5,0.138,-13.341,1,0.0444,85.617,4,0.681
"('Wildflowers - 2015 Remaster', 'Dolly Parton')",0.762,0.609,216573,0.368,Country,6.28e-06,10,0.335,-13.338,1,0.0294,90.373,4,0.618
"('Life is a Highway', 'Rascal Flatts')",0.00324,0.582,276320,0.952,Country,0,5,0.223,-3.848,1,0.0731,103.027,4,0.655
"('Bless The Broken Road', 'Rascal Flatts')",0.671,0.591,226680,0.45,Country,2.23e-05,0,0.159,-6.369,1,0.0266,135.893,4,0.344
"('What Hurts The Most', 'Rascal Flatts')",0.0088,0.537,214107,0.674,Country,0,5,0.265,-5.134,0,0.0277,136.002,4,0.33
"('I Like The Sound Of That', 'Rascal Flatts')",0.257,0.611,209280,0.8,Country,0,0,0.194,-5.61,1,0.0377,89.974,4,0.527
"('Back To Life', 'Rascal Flatts')",0.191,0.467,214219,0.701,Country,0,4,0.0769,-4.997,1,0.0302,132.041,3,0.28
"('My Wish', 'Rascal Flatts')",0.0307,0.548,248280,0.769,Country,5.53e-06,4,0.0867,-4.853,1,0.0312,135.712,4,0.388
"('Summer Nights', 'Rascal Flatts')",0.0163,0.541,242027,0.895,Country,0,2,0.571,-4.884,1,0.0367,102.078,4,0.657
"('Yours If You Want It', 'Rascal Flatts')",0.0103,0.554,206827,0.903,Country,0,8,0.107,-3.152,1,0.0515,112.998,4,0.419
"('Fast Cars And Freedom', 'Rascal Flatts')",0.0135,0.616,262187,0.824,Country,2.13e-05,3,0.108,-4.842,0,0.03,117.954,4,0.623
"(""I Won't Let Go"", 'Rascal Flatts')",0.742,0.557,227760,0.406,Country,0,4,0.113,-7.083,1,0.0278,131.96,4,0.222
"('Beautiful Crazy', 'Luke Combs')",0.676,0.552,193200,0.402,Country,0,11,0.0928,-7.431,1,0.0262,103.313,4,0.382
"('When It Rains It Pours', 'Luke Combs')",0.013,0.551,240760,0.801,Country,6.03e-06,6,0.265,-5.069,1,0.0303,128.027,4,0.625
"('Hurricane', 'Luke Combs')",0.0153,0.464,222533,0.813,Country,0,10,0.254,-6.185,1,0.0416,75.975,4,0.516
"('She Got the Best of Me', 'Luke Combs')",0.0292,0.533,183160,0.907,Country,0,11,0.386,-3.793,1,0.0406,150.99,4,0.7
"('Does To Me', 'Luke Combs')",0.311,0.616,223320,0.849,Country,0,0,0.311,-4.897,1,0.0373,113.065,4,0.638
"('Six Feet Apart', 'Luke Combs')",0.335,0.565,199068,0.598,Country,0,6,0.124,-5.894,1,0.0276,155.814,4,0.449
"('Beer Never Broke My Heart', 'Luke Combs')",0.0139,0.538,186733,0.863,Country,0,1,0.0874,-4.483,1,0.0481,77.001,4,0.637
"('One Number Away', 'Luke Combs')",0.00585,0.544,221800,0.781,Country,0,6,0.191,-6.16,0,0.0311,144.075,4,0.527
"(""Even Though I'm Leaving"", 'Luke Combs')",0.225,0.554,225253,0.755,Country,0,2,0.301,-6.04,1,0.0319,77.962,4,0.624
"('Nothing Like You', 'Luke Combs')",0.355,0.62,196320,0.443,Country,0,5,0.108,-7.984,1,0.028,141.984,4,0.339
"('Got What I Got', 'Jason Aldean')",0.621,0.512,178147,0.58,Country,1.72e-05,3,0.513,-6.658,0,0.029,159.847,3,0.303
"('Dirt Road Anthem', 'Jason Aldean')",0.347,0.68,229400,0.741,Country,1.87e-06,2,0.117,-5.055,1,0.0357,127.024,4,0.635
"('You Make It Easy', 'Jason Aldean')",0.143,0.375,196800,0.574,Country,0.0,7,0.11,-5.305,1,0.0315,132.025,3,0.406
"(""She's Country"", 'Jason Aldean')",0.198,0.553,220573,0.872,Country,0.0,1,0.0659,-2.832,0,0.0782,172.138,4,0.638
"('We Back', 'Jason Aldean')",0.0135,0.433,197160,0.928,Country,2.01e-06,4,0.32,-5.117,0,0.0512,155.938,4,0.552
"('Big Green Tractor', 'Jason Aldean')",0.646,0.623,204200,0.59,Country,0.0,4,0.295,-5.014,1,0.028,137.071,4,0.579
"(""Any Ol' Barstool"", 'Jason Aldean')",0.312,0.536,203293,0.722,Country,0.0,4,0.117,-4.163,1,0.0284,143.78,4,0.499
"('Night Train', 'Jason Aldean')",0.0512,0.496,232307,0.708,Country,1.06e-06,5,0.182,-5.175,1,0.0293,158.121,4,0.502
"('Girl Like You', 'Jason Aldean')",0.035,0.543,193067,0.88,Country,0.000227,3,0.304,-4.204,0,0.0365,144.057,4,0.483
"('Drowns The Whiskey (feat. Miranda Lambert)', 'Jason Aldean')",0.294,0.552,202067,0.698,Country,0.000103,8,0.0905,-4.817,1,0.0306,90.006,4,0.6
"('Body Like A Back Road', 'Sam Hunt')",0.441,0.736,162547,0.458,Country,0,5,0.148,-7.437,1,0.0316,98.977,4,0.65
"('House Party', 'Sam Hunt')",0.113,0.747,190240,0.861,Country,0,8,0.026,-5.251,1,0.0514,103.966,4,0.859
"('Hard To Forget', 'Sam Hunt')",0.23,0.689,204760,0.689,Country,0,4,0.57,-5.517,1,0.045,130.069,4,0.664
"('Kinfolks', 'Sam Hunt')",0.0876,0.569,181933,0.807,Country,0,0,0.164,-4.584,1,0.0464,76.011,4,0.883
"('Hard To Forget - Radio Edit', 'Sam Hunt')",0.191,0.694,189507,0.715,Country,0,4,0.73,-5.39,1,0.0461,130.085,4,0.757
"('Break Up In A Small Town', 'Sam Hunt')",0.0749,0.579,229880,0.776,Country,0,8,0.239,-5.365,1,0.173,136.044,4,0.434
"('2016', 'Sam Hunt')",0.596,0.52,235053,0.384,Country,0,6,0.103,-8.168,1,0.0362,149.536,5,0.328
"('Take Your Time', 'Sam Hunt')",0.101,0.558,243707,0.719,Country,0,11,0.212,-5.603,1,0.0419,158.031,4,0.483
"('Make You Miss Me', 'Sam Hunt')",0.158,0.614,225693,0.472,Country,0,7,0.111,-6.626,1,0.0297,146.005,4,0.168
"('Leave The Night On', 'Sam Hunt')",0.0951,0.514,192160,0.951,Country,0,9,0.349,-3.813,1,0.0603,171.96,4,0.838
"('Meant to Be (feat. Florida Georgia Line)', 'Florida Georgia Line')",0.0476,0.642,164205,0.772,Country,0,10,0.0646,-6.61,1,0.0848,153.995,4,0.589
"('Simple', 'Florida Georgia Line')",0.0791,0.362,185200,0.882,Country,0,3,0.15,-3.717,1,0.0973,199.811,4,0.864
"('Cruise', 'Florida Georgia Line')",0.0191,0.457,208960,0.948,Country,0,10,0.0536,-3.364,1,0.0354,148.0,4,0.878
"('Talk You Out Of It', 'Florida Georgia Line')",0.582,0.651,202920,0.708,Country,0,4,0.0796,-4.791,1,0.0376,119.964,4,0.558
"('I Love My Country', 'Florida Georgia Line')",0.0249,0.527,184573,0.943,Country,0,4,0.373,-3.56,1,0.065,140.132,4,0.584
"('H.O.L.Y.', 'Florida Georgia Line')",0.401,0.523,194187,0.666,Country,0,7,0.0728,-4.081,0,0.0327,78.077,4,0.564
"('Blessings', 'Florida Georgia Line')",0.737,0.466,198520,0.672,Country,0,4,0.0858,-5.926,1,0.036,89.081,4,0.334
"('May We All', 'Florida Georgia Line')",0.0409,0.514,226173,0.918,Country,0,7,0.342,-4.306,1,0.0365,150.033,4,0.64
"('This Is How We Roll', 'Florida Georgia Line')",0.016,0.555,220907,0.931,Country,0,8,0.405,-2.969,1,0.0367,132.085,4,0.723
"('Beer:30', 'Florida Georgia Line')",0.0228,0.77,138853,0.887,Country,2.52e-05,6,0.098,-4.772,1,0.0678,100.028,4,0.817
"('I Hope You’re Happy Now', 'Lee Brice')",0.168,0.591,198689,0.815,Country,8.68e-06,10,0.142,-4.725,1,0.0366,118.024,4,0.306
"('Rumor', 'Lee Brice')",0.749,0.655,198440,0.56,Country,0.0,9,0.115,-6.857,1,0.0486,140.975,4,0.599
"('One Of Them Girls', 'Lee Brice')",0.294,0.643,188893,0.79,Country,0.0,4,0.107,-6.079,1,0.0462,95.987,4,0.8
"('Hard To Love', 'Lee Brice')",0.0119,0.638,224293,0.722,Country,0.00808,9,0.189,-6.177,1,0.0332,103.017,4,0.469
"(""I Don't Dance"", 'Lee Brice')",0.399,0.587,221173,0.559,Country,6.69e-06,1,0.0992,-7.742,1,0.0321,92.036,4,0.19
"('Boy', 'Lee Brice')",0.644,0.498,198973,0.408,Country,0.0,6,0.0993,-7.946,1,0.0331,78.942,4,0.383
"('Drinking Class', 'Lee Brice')",0.0886,0.663,207347,0.53,Country,0.0,1,0.154,-9.763,1,0.0301,109.003,4,0.269
"('Love Like Crazy', 'Lee Brice')",0.0203,0.535,217387,0.725,Country,1.45e-05,10,0.176,-5.108,1,0.0275,78.489,4,0.292
"('A Woman Like You', 'Lee Brice')",0.245,0.592,209787,0.584,Country,0.0,7,0.0862,-7.422,1,0.0305,160.048,4,0.371
"('I Drive Your Truck', 'Lee Brice')",0.0978,0.51,234840,0.649,Country,0.00206,11,0.119,-6.215,1,0.0348,141.963,4,0.118
"('Beer Can’t Fix', 'Thomas Rhett')",0.0317,0.711,209733,0.774,Country,0,7,0.124,-4.068,1,0.0308,111.016,4,0.939
"('Die A Happy Man', 'Thomas Rhett')",0.418,0.595,227427,0.389,Country,1.39e-06,2,0.116,-9.245,1,0.0349,166.052,4,0.4
"(""On Me (feat. Ava Max) - From 'SCOOB!' The Album"", 'Thomas Rhett')",0.0119,0.548,164683,0.721,Country,0,8,0.216,-4.466,1,0.0472,177.918,4,0.594
"('Be A Light', 'Thomas Rhett')",0.0397,0.509,173961,0.493,Country,1.32e-06,0,0.102,-6.676,1,0.0266,97.846,4,0.264
"('Look What God Gave Her', 'Thomas Rhett')",0.0272,0.739,168960,0.85,Country,0,2,0.181,-3.966,1,0.0308,113.0,4,0.883
"('Marry Me', 'Thomas Rhett')",0.0977,0.333,205453,0.412,Country,0,3,0.113,-8.633,1,0.029,85.028,4,0.474
"('Unforgettable', 'Thomas Rhett')",0.0303,0.661,157080,0.75,Country,0.000132,7,0.0849,-5.497,1,0.0314,130.077,4,0.828
"('Remember You Young', 'Thomas Rhett')",0.355,0.396,180467,0.51,Country,0,6,0.113,-6.274,1,0.0327,113.994,4,0.299
"('Blessed', 'Thomas Rhett')",0.314,0.536,214173,0.496,Country,0,7,0.11,-6.027,1,0.029,175.007,3,0.497
"('Notice', 'Thomas Rhett')",0.00246,0.346,222853,0.704,Country,0,4,0.084,-6.309,0,0.0376,119.932,4,0.258
"(""Knockin' On Heaven's Door"", 'Bob Dylan')",0.251,0.513,149880,0.396,Folk,0.177,7,0.11,-13.061,1,0.0299,140.208,4,0.229
"('Like a Rolling Stone', 'Bob Dylan')",0.729,0.483,369600,0.721,Folk,0.0,0,0.189,-6.836,1,0.032,95.261,4,0.562
"(""The Times They Are A-Changin'"", 'Bob Dylan')",0.887,0.389,192053,0.396,Folk,0.0,7,0.0828,-7.999,1,0.0332,171.86,3,0.585
"(""Blowin' in the Wind"", 'Bob Dylan')",0.914,0.38,165427,0.0993,Folk,2.32e-05,2,0.0605,-20.567,1,0.0509,174.874,4,0.44
"('Hurricane', 'Bob Dylan')",0.0409,0.509,512733,0.827,Folk,0.0,0,0.12,-7.715,1,0.079,135.601,4,0.743
"('Girl from the North Country', 'Bob Dylan')",0.843,0.607,220400,0.142,Folk,0.000197,7,0.121,-23.455,1,0.0382,118.867,4,0.305
"(""Don't Think Twice, It's All Right"", 'Bob Dylan')",0.89,0.6,217400,0.243,Folk,0.0022,4,0.249,-17.085,1,0.0366,110.535,4,0.468
"('Tangled up in Blue', 'Bob Dylan')",0.414,0.421,341627,0.661,Folk,1.16e-06,9,0.0962,-13.126,1,0.0433,100.965,4,0.554
"('Mr. Tambourine Man', 'Bob Dylan')",0.794,0.39,330533,0.31,Folk,0.0,5,0.379,-14.545,1,0.0676,177.515,4,0.584
"('Shelter from the Storm', 'Bob Dylan')",0.413,0.486,301133,0.241,Folk,3.51e-05,4,0.0928,-17.337,1,0.0366,106.574,4,0.614
"('Diamonds And Rust', 'Joan Baez')",0.243,0.506,286107,0.343,Folk,0,5,0.141,-12.153,0,0.03,130.052,4,0.265
"('The Night They Drove Old Dixie Down', 'Joan Baez')",0.558,0.564,206067,0.357,Folk,0,1,0.233,-12.752,1,0.0326,129.242,4,0.477
"('House Of The Rising Sun', 'Joan Baez')",0.954,0.389,176360,0.0109,Folk,0.000642,2,0.113,-14.647,0,0.0512,83.9,3,0.189
"('Donna Donna', 'Joan Baez')",0.957,0.579,192933,0.0233,Folk,6.74e-05,6,0.101,-18.57,0,0.0445,117.444,4,0.389
"(""Blowin' In The Wind - Live"", 'Joan Baez')",0.676,0.267,155333,0.369,Folk,0,10,0.925,-12.416,1,0.0501,182.343,4,0.527
"('Eleanor Rigby', 'Joan Baez')",0.957,0.413,140533,0.134,Folk,0,11,0.0841,-16.023,0,0.0443,141.186,4,0.446
"('Brothers In Arms', 'Joan Baez')",0.516,0.416,306120,0.316,Folk,0.00289,6,0.0816,-10.941,0,0.0292,77.894,4,0.0653
"(""Don't Think Twice, It's All Right"", 'Joan Baez')",0.89,0.564,189800,0.0561,Folk,0.000885,2,0.696,-22.377,1,0.0325,105.159,4,0.466
"('Silver Dagger', 'Joan Baez')",0.946,0.416,152067,0.0911,Folk,7.81e-06,3,0.0986,-15.567,0,0.0377,142.111,4,0.386
"(""Babe, I'm Gonna Leave You"", 'Joan Baez')",0.955,0.346,192493,0.187,Folk,0.0846,10,0.846,-19.92,0,0.0641,93.231,4,0.402
"('This Land is Your Land', 'Woody Guthrie')",0.962,0.606,139693,0.0977,Folk,0.00148,3,0.126,-15.668,1,0.0451,105.593,4,0.551
"('Tear The Facists Down', 'Woody Guthrie')",0.792,0.69,129987,0.311,Folk,0.0505,0,0.218,-11.853,1,0.0521,139.349,4,0.872
"(""Goodnight Little Arlo (Goodnight Little Darlin')"", 'Woody Guthrie')",0.994,0.691,196560,0.136,Folk,0.0492,2,0.154,-16.086,1,0.0616,113.544,1,0.742
"('Do Re Mi', 'Woody Guthrie')",0.959,0.582,216880,0.236,Folk,0.742,2,0.121,-17.115,1,0.0589,125.621,4,0.831
"('I Want My Milk (I Want it Now)', 'Woody Guthrie')",0.966,0.638,141507,0.0689,Folk,1.31e-06,4,0.102,-16.222,1,0.0659,120.16,3,0.695
"('My Daddy (Flies A Ship In The Sky)', 'Woody Guthrie')",0.945,0.627,156627,0.152,Folk,7.56e-05,0,0.0918,-13.552,1,0.0479,119.984,4,0.806
"(""So Long, It's Been Good to Know Yuh (Dusty Old Dust)"", 'Woody Guthrie')",0.839,0.641,224560,0.216,Folk,0.0,0,0.0912,-15.504,1,0.0396,103.646,3,0.668
"('This Land Is Your Land', 'Woody Guthrie')",0.921,0.605,167467,0.158,Folk,0.00118,2,0.159,-13.669,1,0.0431,108.325,4,0.485
"('Riding in my car (Car song)', 'Woody Guthrie')",0.932,0.694,112533,0.202,Folk,0.000751,11,0.113,-15.035,1,0.151,138.357,4,0.634
"(""Hobo's Lullaby"", 'Woody Guthrie')",0.995,0.667,145000,0.0385,Folk,0.0787,8,0.113,-17.699,1,0.0407,98.672,4,0.592
"(""When I'm Gone"", 'Phil Ochs')",0.948,0.47,253330,0.0966,Folk,7.24e-05,3,0.72,-19.103,1,0.0483,83.079,4,0.23
"(""I Ain't Marching Anymore"", 'Phil Ochs')",0.633,0.498,154893,0.492,Folk,0.0,6,0.0762,-6.517,1,0.0458,131.104,4,0.662
"('Draft Dodger Rag', 'Phil Ochs')",0.85,0.729,131267,0.168,Folk,0.0,5,0.0934,-13.265,1,0.145,96.166,4,0.692
"(""Love Me I'm a Liberal - Live Version"", 'Phil Ochs')",0.453,0.491,277633,0.269,Folk,0.0,4,0.686,-14.222,1,0.0841,96.382,4,0.442
"('Changes', 'Phil Ochs')",0.92,0.45,280358,0.0452,Folk,3.37e-05,3,0.696,-22.419,1,0.0444,106.891,4,0.256
"(""Here's to the State of Mississippi"", 'Phil Ochs')",0.749,0.5,354933,0.22,Folk,0.0,6,0.117,-11.497,1,0.0628,87.843,3,0.454
"('Power and Glory', 'Phil Ochs')",0.741,0.595,136360,0.321,Folk,0.0,9,0.587,-12.828,0,0.115,138.107,4,0.662
"('The Bells', 'Phil Ochs')",0.761,0.554,188840,0.259,Folk,0.0,1,0.0625,-15.813,1,0.112,132.74,4,0.411
"('The Highwayman', 'Phil Ochs')",0.852,0.561,339267,0.108,Folk,0.0,8,0.109,-14.018,0,0.0504,136.622,4,0.295
"('There but for Fortune', 'Phil Ochs')",0.931,0.466,165047,0.0997,Folk,0.00234,6,0.953,-19.066,1,0.039,106.344,4,0.302
"('Little Boxes', 'Pete Seeger')",0.941,0.775,114773,0.194,Folk,0.00685,5,0.195,-16.883,1,0.0731,120.764,3,0.783
"('Oh, Susanna', 'Pete Seeger')",0.928,0.535,77893,0.318,Folk,0.00485,4,0.304,-14.464,1,0.086,137.463,4,0.706
"('Solidarity Forever', 'Pete Seeger')",0.972,0.721,174533,0.295,Folk,0.0,8,0.0871,-11.214,1,0.0397,107.807,4,0.452
"('Which Side are You On?', 'Pete Seeger')",0.992,0.498,129800,0.245,Folk,3.25e-06,7,0.101,-13.473,0,0.0424,171.946,4,0.595
"('My Rainbow Race', 'Pete Seeger')",0.886,0.372,223200,0.109,Folk,6.7e-05,7,0.106,-17.372,1,0.0294,90.946,4,0.337
"('Coyote, My Little Brother', 'Pete Seeger')",0.932,0.413,170600,0.0153,Folk,0.0,6,0.0989,-21.467,1,0.0358,94.584,4,0.123
"('Keep Your Eyes On The Prize', 'Pete Seeger')",0.891,0.375,119493,0.282,Folk,0.0,11,0.215,-15.039,0,0.0383,79.101,4,0.839
"('If I Had a Hammer (Hammer Song)', 'Pete Seeger')",0.966,0.583,115560,0.205,Folk,0.0193,0,0.0585,-17.07,1,0.0382,80.772,4,0.883
"('What Did You Learn In School Today?', 'Pete Seeger')",0.934,0.718,101200,0.389,Folk,2.02e-05,11,0.143,-13.501,1,0.0613,122.439,4,0.901
"('Where Have All the Flowers Gone? - Live', 'Pete Seeger')",0.949,0.496,114907,0.185,Folk,0.0,10,0.159,-14.281,1,0.0846,135.954,5,0.258
"('Our House', 'Crosby, Stills, Nash & Young')",0.896,0.593,179760,0.205,Folk,5.46e-05,9,0.119,-14.601,1,0.0479,140.279,4,0.377
